D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,4,16,stochastic_depth,dropout,41,0.08688328,0.014635576,0.12353337,0.08243711
10,4,4,16,stochastic_depth,dropout,42,0.08818998,0.013948222,0.13376117,0.1193081
10,4,4,16,stochastic_depth,dropout,43,0.08580313,0.014109303,0.22071633,0.07569004
10,4,4,16,stochastic_depth,dropout,44,0.08536564,0.0142996,0.2189245,0.17806701
10,4,4,16,stochastic_depth,dropout,45,0.08397883,0.011998529,0.12502354,0.12585367
10,4,4,16,stochastic_depth,dropout,46,0.065754175,0.01780101,0.06582011,0.035865203
10,4,4,16,stochastic_depth,dropout,47,0.06547626,0.013771231,0.12009592,0.11355853
10,4,4,16,stochastic_depth,dropout,48,0.07536365,0.012899436,0.09478675,0.082226425
10,4,4,16,stochastic_depth,dropout,49,0.07109004,0.011522148,0.08913525,0.06708401
10,4,4,16,stochastic_depth,dropout,50,0.063671924,0.012396091,0.2066439,0.09783607
10,4,4,16,stochastic_depth,dropout,51,0.065261915,0.016439853,0.19384491,0.13014086
10,4,4,16,stochastic_depth,dropout,52,0.06478979,0.015452435,0.2082706,0.11949071
10,4,4,16,stochastic_depth,dropout,53,0.06213528,0.010622439,0.12135537,0.08216907
10,4,4,16,stochastic_depth,dropout,54,0.06078621,0.012483807,0.11356268,0.10959394
10,4,4,16,stochastic_depth,dropout,55,0.06017884,0.009777153,0.03854292,0.025589155
10,4,4,16,stochastic_depth,dropout,56,0.054311097,0.010571615,0.107965745,0.091019414
10,4,4,16,stochastic_depth,dropout,57,0.044581097,0.013973647,0.15000108,0.12368691
10,4,4,16,stochastic_depth,dropout,58,0.051297825,0.016667482,0.14989443,0.09857074
10,4,4,16,stochastic_depth,dropout,59,0.042339366,0.01952597,0.06608437,0.054421
10,4,4,16,stochastic_depth,dropout,60,0.040364016,0.016914446,0.04158052,0.017879989
10,4,4,16,stochastic_depth,dropout,61,0.043652862,0.0047863405,0.14015615,0.1552731
10,4,4,16,stochastic_depth,dropout,62,0.03700123,0.01773556,0.11496852,0.10525313
10,4,4,16,stochastic_depth,dropout,63,0.03573242,0.008009363,0.103673175,0.10210849
10,4,4,16,stochastic_depth,dropout,64,0.029231733,0.0027958872,0.1182575,0.07360792
10,4,4,16,stochastic_depth,dropout,65,0.033895493,0.008296798,0.18897733,0.12300461
10,4,4,16,stochastic_depth,dropout,66,0.029453188,0.0074644415,0.15999644,0.111693084
10,4,4,16,stochastic_depth,dropout,67,0.032256074,0.0067451214,0.07157247,0.076498866
10,4,4,16,stochastic_depth,dropout,68,0.026593208,0.0063366625,0.11875422,0.08979117
10,4,4,16,stochastic_depth,dropout,69,0.027787954,0.009016427,0.12576084,0.10110845
10,4,4,16,stochastic_depth,dropout,70,0.02707386,0.014380405,0.12874417,0.094872124
10,4,4,16,stochastic_depth,dropout,71,0.03110515,0.021805512,0.13527557,0.06776436
10,4,4,16,stochastic_depth,dropout,72,0.029462498,0.017914593,0.09818514,0.10863245
10,4,4,16,stochastic_depth,dropout,73,0.029254895,0.01562325,0.08242069,0.036247388
10,4,4,16,stochastic_depth,dropout,74,0.02722891,0.02019539,0.091158345,0.08051221
10,4,4,16,stochastic_depth,dropout,75,0.024670858,0.019630523,0.12547955,0.14145368
10,4,4,16,stochastic_depth,dropout,76,0.038963955,0.032191273,0.09922991,0.049135108
10,4,4,16,stochastic_depth,dropout,77,0.03075459,0.02122656,0.08116406,0.04778952
10,4,4,16,stochastic_depth,dropout,78,0.024413144,0.015905429,0.16998291,0.11036224
10,4,4,16,stochastic_depth,dropout,79,0.030439358,0.016816672,0.061555244,0.06837691
10,4,4,16,stochastic_depth,dropout,80,0.026462555,0.007132037,0.10027553,0.11915577
10,4,4,16,stochastic_depth,dropout,81,0.021066565,0.008893662,0.16407827,0.14009733
10,4,4,16,stochastic_depth,dropout,82,0.015304828,0.011887303,0.0941972,0.06453167
10,4,4,16,stochastic_depth,dropout,83,0.021863168,0.009792562,0.15672767,0.10370243
10,4,4,16,stochastic_depth,dropout,84,0.022016669,0.010219413,0.057009805,0.058510467
10,4,4,16,stochastic_depth,dropout,85,0.021095533,0.012438107,0.03277589,0.022809833
10,4,4,16,stochastic_depth,dropout,86,0.020680826,0.012359534,0.10208081,0.0840081
